support,itemsets
0.1444134407380285,frozenset({'Accessories'})
0.14441379145868932,frozenset({'Accessory'})
0.03222070710896751,frozenset({'Alcohol'})
0.033898554750300916,frozenset({'Animal'})
0.6274543431843752,frozenset({'Apparel'})
0.039224598705419896,frozenset({'Architecture'})
0.043167049653628276,frozenset({'Art'})
0.060809351054546885,frozenset({'Audience'})
0.049123338636229724,frozenset({'Automobile'})
0.11455062863171245,frozenset({'Bar Counter'})
0.046639534916346106,frozenset({'Beverage'})
0.030381177242998915,frozenset({'Blazer'})
0.027398298022777202,frozenset({'Blonde'})
0.02479630144019932,frozenset({'Blossom'})
0.10749623326010285,frozenset({'Building'})
0.049123338636229724,frozenset({'Car'})
0.05498984312966283,frozenset({'Chair'})
0.046982890443282854,frozenset({'Child'})
0.029359527958048196,frozenset({'City'})
0.6274543431843752,frozenset({'Clothing'})
0.021564410550799783,frozenset({'Club'})
0.25549789707891774,frozenset({'Coat'})
0.029651327547845312,frozenset({'Couch'})
0.06755861945124843,frozenset({'Court'})
0.16744631869565582,frozenset({'Crowd'})
0.028535334405135674,frozenset({'Crypt'})
0.04268340586236599,frozenset({'Cushion'})
0.06960437306577555,frozenset({'Dating'})
0.02666739616564116,frozenset({'Dining Table'})
0.0427090084706054,frozenset({'Display'})
0.05319029541902702,frozenset({'Door'})
0.046639534916346106,frozenset({'Drink'})
0.03247673319136161,frozenset({'Dungeon'})
0.08835460103420509,frozenset({'Electronics'})
0.03892648614372813,frozenset({'Evening Dress'})
0.3957132115070046,frozenset({'Face'})
0.07606780412391381,frozenset({'Fashion'})
0.2080688899550797,frozenset({'Female'})
0.09679890238461991,frozenset({'Finger'})
0.02479630144019932,frozenset({'Flower'})
0.062301667466309774,frozenset({'Food'})
0.03129585672640141,frozenset({'Food Court'})
0.23067914951642635,frozenset({'Furniture'})
0.07476557831031203,frozenset({'Girl'})
0.03633921982890443,frozenset({'Glass'})
0.028233363916174956,frozenset({'Glasses'})
