support,itemsets
0.5419762354707603,frozenset({'Accessories'})
0.5419762354707603,frozenset({'Accessory'})
0.06197416448782003,frozenset({'Advertisement'})
0.23368453752362214,frozenset({'Alcohol'})
0.05035077273550959,frozenset({'Alley'})
0.05035077273550959,frozenset({'Alleyway'})
0.22545238033601697,frozenset({'Animal'})
0.9813093789639907,frozenset({'Apparel'})
0.19221310414455461,frozenset({'Architecture'})
0.18429159439799114,frozenset({'Arm'})
0.08025058893577364,frozenset({'Armored'})
0.0799658287814854,frozenset({'Army'})
0.18923606616790495,frozenset({'Art'})
0.055010484351135154,frozenset({'Asleep'})
0.2554298583965415,frozenset({'Audience'})
0.2355225348831189,frozenset({'Automobile'})
0.08894871728494136,frozenset({'Baby'})
0.43785756814828236,frozenset({'Bar Counter'})
0.0932201195992648,frozenset({'Bartender'})
0.126122861062932,frozenset({'Bed'})
0.06313909239172642,frozenset({'Bedroom'})
0.07445183670299516,frozenset({'Beer'})
0.31786999404592403,frozenset({'Beverage'})
0.0737787672474048,frozenset({'Blanket'})
0.16598928266328405,frozenset({'Blazer'})
0.1756193533355769,frozenset({'Blonde'})
0.1291516736130886,frozenset({'Blossom'})
0.07165600973361982,frozenset({'Book'})
0.057003805431152764,frozenset({'Bottle'})
0.08716249449895157,frozenset({'Boy'})
0.49703590566672706,frozenset({'Building'})
0.05506225892464211,frozenset({'Cabinet'})
0.10178881151466515,frozenset({'Cafe'})
0.10650029770379767,frozenset({'Cafeteria'})
0.10259131740402289,frozenset({'Call of Duty'})
0.053974992880996144,frozenset({'Candle'})
0.07784307126770043,frozenset({'Canine'})
0.07768774754717958,frozenset({'Cap'})
0.2355225348831189,frozenset({'Car'})
0.30389085919904735,frozenset({'Chair'})
0.274301690439825,frozenset({'Child'})
0.15110409278003573,frozenset({'City'})
0.109296124673173,frozenset({'Clinic'})
0.9813093789639907,frozenset({'Clothing'})
0.07258795205674494,frozenset({'Club'})
0.6512464728571798,frozenset({'Coat'})
0.09182220611457713,frozenset({'Computer'})
0.11669988868466696,frozenset({'Couch'})
0.09298713401848352,frozenset({'Countryside'})
0.4287711304978125,frozenset({'Court'})
0.6343420746071604,frozenset({'Crowd'})
0.07437417484273473,frozenset({'Curtain'})
0.24339227005617542,frozenset({'Cushion'})
0.50487975355303,frozenset({'Dating'})
0.07279505035077273,frozenset({'Desk'})
0.09202930440860493,frozenset({'Dining Room'})
0.16171788034896062,frozenset({'Dining Table'})
0.06277667037717777,frozenset({'Dish'})
0.2241580159983432,frozenset({'Display'})
0.06575370835382743,frozenset({'Dog'})
0.19741644878200315,frozenset({'Door'})
0.10160760050739082,frozenset({'Dress'})
0.055528230086204666,frozenset({'Dressing Room'})
0.31786999404592403,frozenset({'Drink'})
0.08599756659504518,frozenset({'Driving'})
0.06220715006860131,frozenset({'Dungeon'})
0.053509021719433586,frozenset({'Ear'})
0.3780320484610008,frozenset({'Electronics'})
0.11411116000931942,frozenset({'Evening Dress'})
0.9772709622304486,frozenset({'Face'})
0.2376194051101504,frozenset({'Fashion'})
0.7511713997255948,frozenset({'Female'})
0.13114499469310623,frozenset({'Field'})
0.15625566284397732,frozenset({'Final Fantasy'})
0.2515726526702736,frozenset({'Finger'})
0.1291516736130886,frozenset({'Flower'})
0.3173004737373476,frozenset({'Food'})
